id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
240,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,2482798,ORANG,2018
241,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,1594,ORANG,2018
242,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,357349,ORANG,2018
243,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,6,ORANG,2018
244,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,316471,ORANG,2018
245,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,25,ORANG,2018
246,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,2043000,ORANG,2018
247,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,10,ORANG,2018
248,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,121788,ORANG,2018
249,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MANCANEGARA,701,ORANG,2018
250,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,3578,ORANG,2018
251,32,JAWA BARAT,3271,KOTA BOGOR,MANCANEGARA,212269,ORANG,2018
252,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,8325,ORANG,2018
253,32,JAWA BARAT,3272,KOTA SUKABUMI,MANCANEGARA,10,ORANG,2018
254,32,JAWA BARAT,3272,KOTA SUKABUMI,NUSANTARA,200445,ORANG,2018
255,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,2176487,ORANG,2018
256,32,JAWA BARAT,3273,KOTA BANDUNG,NUSANTARA,5864721,ORANG,2018
257,32,JAWA BARAT,3274,KOTA CIREBON,MANCANEGARA,6492,ORANG,2018
258,32,JAWA BARAT,3274,KOTA CIREBON,NUSANTARA,214340,ORANG,2018
259,32,JAWA BARAT,3275,KOTA BEKASI,MANCANEGARA,355,ORANG,2018
260,32,JAWA BARAT,3275,KOTA BEKASI,NUSANTARA,908450,ORANG,2018
261,32,JAWA BARAT,3276,KOTA DEPOK,MANCANEGARA,25,ORANG,2018
262,32,JAWA BARAT,3276,KOTA DEPOK,NUSANTARA,34687,ORANG,2018
263,32,JAWA BARAT,3277,KOTA CIMAHI,MANCANEGARA,63,ORANG,2018
264,32,JAWA BARAT,3277,KOTA CIMAHI,NUSANTARA,4194,ORANG,2018
